cofplexity,10,10,90,0,10,10,20,10,0,0,0,0,20,0,20,10,0,10,20,30,10,40,30,10,20,20,10,10,40,0,20,20,20,0,10,10,20,10,complexity
ntoaton,22,11,0,12,40,11,12,11,22,22,12,11,0,14,11,22,14,22,12,25,12,12,10,28,11,14,12,14,0,0,10,37,0,0,55,10,11,0,N/F
window,0,22,0,0,10,11,12,11,11,11,12,22,30,14,11,11,14,11,0,12,12,0,20,33,11,0,0,33,0,0,10,25,0,12,11,0,22,14,N/F
zebra,11,0,10,12,10,22,0,22,22,11,37,11,20,28,11,11,0,22,12,0,12,12,10,20,33,33,25,16,0,25,10,0,0,12,22,10,11,42,N/F
elephant,11,11,20,12,20,0,25,11,22,0,12,11,20,12,0,0,12,11,12,0,0,12,20,25,22,12,25,12,12,0,20,0,25,12,11,10,0,25,N/F
intreface,0,0,10,33,20,11,0,11,77,11,11,22,40,11,11,11,0,0,22,0,33,0,10,11,11,22,33,22,0,0,10,0,11,33,22,0,22,22,interface
thunder,0,11,10,12,0,11,12,11,11,11,12,11,20,0,33,11,14,11,12,12,25,0,10,14,11,0,0,14,25,37,10,12,0,25,11,10,11,0,N/F
daabase,0,11,0,87,0,11,12,11,22,33,25,33,30,0,11,11,14,11,25,0,25,0,10,0,0,14,12,14,12,25,10,0,12,37,11,20,11,14,database
evlocity,33,22,40,0,20,0,0,22,0,0,12,11,10,12,11,11,0,22,0,25,0,75,30,12,22,25,0,12,0,0,40,12,12,0,11,30,0,12,N/F
ekyoard,11,11,0,12,20,11,0,22,11,11,62,11,20,28,0,11,0,11,25,12,12,12,10,14,22,14,12,28,0,12,10,0,0,25,11,10,22,28,N/F
hradware,0,22,0,25,10,44,37,22,22,11,25,33,50,25,11,11,12,0,50,0,12,0,0,0,0,25,12,25,0,0,0,0,25,75,11,10,11,25,N/F
yesetrday,0,11,10,11,0,0,0,22,22,0,22,0,10,22,0,0,11,11,11,11,11,22,10,11,77,11,33,22,0,11,10,11,0,11,11,10,11,22,yesterday
nebula,0,11,10,12,10,11,0,11,22,0,25,11,20,28,0,11,0,22,12,12,12,12,10,16,22,0,12,0,12,37,0,12,0,12,11,0,11,14,N/F
entwok,0,22,0,12,40,33,0,11,22,22,12,11,10,57,11,11,14,22,25,12,12,12,10,33,22,0,12,0,0,12,10,37,0,12,33,0,22,0,N/F
exnno,0,11,20,0,20,11,12,11,11,22,12,11,10,14,0,11,14,22,0,12,0,12,20,40,11,0,0,16,0,12,20,25,0,0,22,0,0,0,N/F
functionk,11,22,0,0,40,33,22,0,0,22,0,11,0,44,11,11,22,22,11,11,22,11,0,33,0,11,11,11,11,0,30,88,11,0,33,10,0,0,function
reucrsioon,20,10,0,0,40,10,10,10,10,20,10,10,0,20,10,30,10,70,0,10,10,20,0,30,10,10,10,10,10,10,10,40,10,10,30,10,0,10,N/F
iteraiton,22,11,10,11,40,11,22,33,33,11,11,0,10,11,11,11,22,33,0,11,11,22,10,33,11,11,22,11,11,11,10,33,11,11,77,0,0,22,iteration
binay,11,22,10,12,10,0,12,33,22,11,12,22,20,0,11,0,14,0,12,12,12,12,10,20,22,16,25,83,12,12,30,12,0,12,11,10,0,42,binary
functin,11,22,10,0,40,11,12,0,0,11,0,22,0,0,11,11,28,22,0,0,12,12,10,28,0,0,0,14,0,0,30,87,12,0,33,20,0,0,function
planet,22,22,30,12,10,22,37,11,11,11,0,22,20,0,22,22,28,0,12,12,12,25,30,16,11,0,12,0,12,12,10,12,12,12,11,20,11,0,N/F
efficienc,11,11,0,0,20,0,33,0,11,0,0,0,0,0,22,0,0,22,11,0,11,22,10,11,0,22,0,11,11,11,90,33,11,0,11,10,0,11,efficiency
library,22,0,10,12,10,11,0,55,22,11,37,22,30,14,11,0,0,11,25,12,12,12,0,0,22,14,25,57,0,12,20,0,0,25,22,10,0,100,library
metaarogrlam,25,8,0,16,16,16,8,16,16,16,25,8,16,33,16,8,16,16,16,16,8,16,8,16,25,16,16,16,8,16,8,8,8,16,16,16,8,16,N/F
lemon,11,0,20,0,20,22,12,11,11,11,25,11,20,28,11,22,0,33,0,12,12,25,20,60,11,0,0,0,12,12,10,25,0,0,33,0,22,14,N/F
wavelengt,0,11,30,11,0,11,33,0,11,0,0,11,20,11,0,0,0,0,0,22,11,33,90,22,0,0,22,0,11,11,20,0,0,11,0,30,33,0,wavelength
lbraryy,22,0,10,12,10,11,12,44,11,11,25,11,20,0,0,0,0,11,12,12,12,12,0,0,22,0,25,42,0,12,10,0,12,25,22,20,0,71,N/F
iherarchy,11,0,10,11,10,0,11,77,33,11,11,0,20,11,0,0,11,11,11,11,11,22,10,11,22,22,22,33,0,11,10,0,11,22,44,10,0,44,hierarchy
ocean,11,0,20,12,20,11,12,22,22,11,12,11,20,0,11,33,14,22,25,12,12,25,20,20,22,33,12,16,12,0,20,25,0,12,33,10,22,14,N/F
cherry,11,0,30,0,10,22,0,44,22,0,12,0,20,14,0,11,0,11,12,12,25,12,10,16,33,0,12,33,12,0,30,0,0,25,22,10,11,42,N/F
jungle,0,11,20,12,0,0,12,0,11,33,0,22,20,0,11,0,28,11,12,12,25,0,20,16,0,0,0,16,25,25,10,25,0,12,0,10,22,0,N/F
ebufger,0,0,10,0,10,11,12,11,11,0,12,0,20,0,22,11,0,22,12,0,12,12,20,0,11,0,12,14,25,75,20,0,0,12,11,10,11,0,N/F
enrryption,10,10,10,0,90,10,20,10,10,10,10,0,0,20,0,20,10,40,0,10,10,10,0,30,0,10,10,20,10,0,10,40,30,10,50,10,10,10,encryption
interfacce,10,0,0,30,10,0,10,30,90,10,10,20,20,20,10,0,0,10,20,10,30,10,10,10,30,20,30,20,0,10,10,0,10,20,40,0,20,20,interface
yacht,11,22,10,12,20,11,25,33,11,11,12,22,0,0,0,11,14,11,0,0,0,25,20,0,11,0,25,0,0,0,10,12,25,12,11,30,0,0,N/F
grandieot,11,33,10,11,20,22,77,0,0,0,0,22,10,11,11,22,22,11,0,0,11,11,20,22,0,22,11,11,11,11,20,22,44,22,22,20,0,0,gradient
xerox,11,0,10,0,20,22,0,22,22,22,25,0,10,28,0,22,0,33,0,12,25,25,10,60,22,0,12,0,0,12,10,12,0,12,33,10,11,14,N/F
keyobrd,11,11,0,12,10,22,0,11,11,0,75,0,10,28,0,11,0,11,12,12,12,25,10,28,33,0,0,14,0,12,0,0,0,12,11,10,22,14,N/F
guitar,33,11,10,12,10,11,25,22,11,33,25,11,20,14,22,11,28,11,37,0,25,12,0,0,22,16,25,33,25,25,10,25,12,25,11,10,0,28,N/F
yetseray,0,0,20,12,0,11,0,22,33,11,12,11,20,37,11,11,0,11,12,12,25,25,10,12,66,12,25,25,0,12,20,0,0,0,22,20,11,25,N/F
